POSITIONS,UNIQUE ID,ID TYPE,NAME,POSITION UNITS,PORTFOLIO,PRICE,CURRENCY
,CX_XS1648298559_EUR,ISIN,CX_XS1648298559_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US9024941034_NYQ,ISIN,CX_US9024941034_NYQ,100,Common Stock,,USD
,CX_FR0000054900_PAR,ISIN,CX_FR0000054900_PAR,100,Common Stock,,USD
,CX_CA50077HAA38_CAD,ISIN,CX_CA50077HAA38_CAD,100,Fixed Rate Bond,,USD
,CX_XS1057481084_EUR,ISIN,CX_XS1057481084_EUR,100,Fixed Rate Bond,,USD
,CX_FR0011033851_EUR-Fix,ISIN,CX_FR0011033851_EUR-Fix,100,Fixed Rate Bond,,USD
,CX_FI0009801310_HEX,ISIN,CX_FI0009801310_HEX,100,Common Stock,,USD
,CX_US140420NH93_USD,ISIN,CX_US140420NH93_USD,100,Interest Rate Index Linked Note,,USD
,CX_US902494AY91_USD,ISIN,CX_US902494AY91_USD,100,Interest Rate Index Linked Note,,USD
,CX_US30231GAW24_USD,ISIN,CX_US30231GAW24_USD,100,Interest Rate Index Linked Note,,USD
,CX_RU000A0JU9V1_RUB,ISIN,CX_RU000A0JU9V1_RUB,100,Fixed Rate Bond,,USD
,CX_US655844BP27_USD,ISIN,CX_US655844BP27_USD,100,Interest Rate Index Linked Note,,USD
,CX_MX01GE0E0004_MEX,ISIN,CX_MX01GE0E0004_MEX,100,Common Stock,,USD
,CX_US58013MEJ99_USD,ISIN,CX_US58013MEJ99_USD,100,Fixed Rate Bond,,USD
,CX_US912828L401_USD,ISIN,CX_US912828L401_USD,100,Fixed Rate Bond,,USD
,CX_GB00B0SWJX34_LSE,ISIN,CX_GB00B0SWJX34_LSE,100,Common Stock,,USD
,CX_XS1495373505_EUR,ISIN,CX_XS1495373505_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US444859BC56_USD,ISIN,CX_US444859BC56_USD,100,Fixed Rate Bond,,USD
,CX_US7473161070_NYQ,ISIN,CX_US7473161070_NYQ,100,Common Stock,,USD
,CX_US716473AC70_USD,ISIN,CX_US716473AC70_USD,100,Fixed Rate Bond,,USD
,CX_FR0012648590_EUR,ISIN,CX_FR0012648590_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US655844BS65_USD,ISIN,CX_US655844BS65_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS1492446460_EUR,ISIN,CX_XS1492446460_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US883203BX87_USD,ISIN,CX_US883203BX87_USD,100,Interest Rate Index Linked Note,,USD
,CX_CA4986961031_CAQ,ISIN,CX_CA4986961031_CAQ,100,Common Stock,,USD
,CX_GB00BGLP8L22_LSE,ISIN,CX_GB00BGLP8L22_LSE,100,Common Stock,,USD
,CX_US29336UAE73_USD,ISIN,CX_US29336UAE73_USD,100,Interest Rate Index Linked Note,,USD
,CX_DE000A161N30_GER,ISIN,CX_DE000A161N30_GER,100,Common Stock,,USD
,CX_XS1362373224_EUR,ISIN,CX_XS1362373224_EUR,100,Fixed Rate Bond,,USD
,CX_ES0161560018_MCE,ISIN,CX_ES0161560018_MCE,100,Common Stock,,USD
,CX_NL0010545661_MIL,ISIN,CX_NL0010545661_MIL,100,Common Stock,,USD
,CX_DE0007472060_GER,ISIN,CX_DE0007472060_GER,100,Common Stock,,USD
,CX_NO0003921009_OSL,ISIN,CX_NO0003921009_OSL,100,Common Stock,,USD
,CX_CH0229318131_CHF,ISIN,CX_CH0229318131_CHF,100,Fixed Rate Bond,,USD
,CX_TREULKR00015_IST,ISIN,CX_TREULKR00015_IST,100,Common Stock,,USD
,CX_US36962G7K48_USD,ISIN,CX_US36962G7K48_USD,100,Interest Rate Index Linked Note,,USD
,CX_MYL4197OO009_KLS,ISIN,CX_MYL4197OO009_KLS,100,Common Stock,,USD
,CX_US386088AH17_USD,ISIN,CX_US386088AH17_USD,100,Interest Rate Index Linked Note,,USD
,CX_US056752AA67_USD,ISIN,CX_US056752AA67_USD,100,Fixed Rate Bond,,USD
,CX_INE802G01018_NSI,ISIN,CX_INE802G01018_NSI,100,Common Stock,,USD
,CX_DE0007493991_GER,ISIN,CX_DE0007493991_GER,100,Common Stock,,USD
,CX_FR0013227113_PAR,ISIN,CX_FR0013227113_PAR,100,Common Stock,,USD
,CX_CH0353688929_CHF,ISIN,CX_CH0353688929_CHF,100,Fixed Rate Bond,,USD
,CX_US912828A834_USD,ISIN,CX_US912828A834_USD,100,Fixed Rate Bond,,USD
